2025-05-13 16:39:02.396 [main] INFO  com.example.auth.AuthApplication - Starting AuthApplication using Java 17.0.12 with PID 7592 (C:\Users\37602\Desktop\template\Manage_supervision\backend\target\classes started by 37602 in C:\Users\37602\Desktop\template)
2025-05-13 16:39:02.401 [main] INFO  com.example.auth.AuthApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-13 16:39:02.980 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-13 16:39:03.096 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 108 ms. Found 20 JPA repository interfaces.
2025-05-13 16:39:03.496 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-05-13 16:39:03.505 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-05-13 16:39:03.507 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-13 16:39:03.507 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-05-13 16:39:03.555 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-13 16:39:03.555 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1123 ms
2025-05-13 16:39:03.670 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-13 16:39:03.738 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-05-13 16:39:03.773 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-05-13 16:39:03.989 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-13 16:39:04.697 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7d8f2eec
2025-05-13 16:39:04.698 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-13 16:39:04.801 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-05-13 16:39:04.802 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-05-13 16:39:05.660 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-05-13 16:39:08.228 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-05-13 16:39:09.727 [main] INFO  c.e.auth.config.WebSocketConfig - 配置WebSocket客户端入站通道拦截器
2025-05-13 16:39:09.728 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket客户端入站通道拦截器配置完成
2025-05-13 16:39:09.734 [main] INFO  c.e.auth.config.WebSocketConfig - 配置WebSocket消息代理
2025-05-13 16:39:09.734 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket消息代理配置完成
2025-05-13 16:39:10.104 [main] INFO  c.e.auth.util.FaceRecognitionUtil - FaceRecognitionUtil构造函数被调用
2025-05-13 16:39:10.105 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 开始初始化FaceRecognitionUtil...
2025-05-13 16:39:10.105 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 尝试加载OpenCV本地库...
2025-05-13 16:39:10.111 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 成功加载OpenCV core本地库
2025-05-13 16:39:10.111 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 开始加载Haar级联分类器模型文件
2025-05-13 16:39:10.113 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 尝试从路径加载人脸检测模型: /models/haarcascade_frontalface_alt2.xml
2025-05-13 16:39:10.113 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 尝试从路径加载人脸检测模型: /haarcascade_frontalface_alt2.xml
2025-05-13 16:39:10.113 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 尝试从路径加载人脸检测模型: /models/haarcascade_frontalface_alt.xml
2025-05-13 16:39:10.114 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 成功从路径加载模型: /models/haarcascade_frontalface_alt.xml
2025-05-13 16:39:10.114 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 从临时文件加载Haar级联分类器: C:\Users\37602\AppData\Local\Temp\haarcascade_6511045153782808940.xml
2025-05-13 16:39:10.119 [main] INFO  c.e.auth.util.FaceRecognitionUtil - Haar级联分类器模型文件提取完成: C:\Users\37602\AppData\Local\Temp\haarcascade_6511045153782808940.xml
2025-05-13 16:39:11.365 [main] INFO  c.e.auth.util.FaceRecognitionUtil - Haar级联分类器加载成功
2025-05-13 16:39:11.365 [main] INFO  c.e.auth.util.FaceRecognitionUtil - 开始创建LBPH人脸识别器
2025-05-13 16:39:11.516 [main] INFO  c.e.auth.util.FaceRecognitionUtil - LBPH人脸识别器创建成功
2025-05-13 16:39:11.516 [main] INFO  c.e.auth.util.FaceRecognitionUtil - FaceRecognitionUtil初始化完成
2025-05-13 16:39:11.629 [main] INFO  c.e.auth.config.WebSocketConfig - 注册WebSocket端点: /ws
2025-05-13 16:39:11.684 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-13 16:39:11.734 [main] INFO  com.example.auth.config.WebConfig - 配置拦截器，验证用户权限
2025-05-13 16:39:11.738 [main] INFO  com.example.auth.config.WebConfig - 配置CORS，允许前端访问
2025-05-13 16:39:11.739 [main] INFO  com.example.auth.config.WebConfig - CORS配置完成，允许所有来源访问
2025-05-13 16:39:11.811 [main] INFO  com.example.auth.config.WebConfig - 配置资源映射: /uploads/** -> file:C:\Users\37602\Desktop\template\uploads/
2025-05-13 16:39:11.920 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-05-13 16:39:11.939 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2025-05-13 16:39:11.940 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2025-05-13 16:39:11.940 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@3c616237]]
2025-05-13 16:39:11.940 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2025-05-13 16:39:11.946 [main] INFO  com.example.auth.AuthApplication - Started AuthApplication in 9.953 seconds (process running for 10.65)
2025-05-13 16:39:14.692 [http-nio-8081-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-13 16:39:14.692 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
