2025-04-23 09:36:31.326 [main] INFO  com.example.auth.AuthApplication - Starting AuthApplication using Java 17.0.12 with PID 24160 (C:\Users\37602\Desktop\项目\Manage_supervision\Manage_supervision\backend\target\classes started by 37602 in C:\Users\37602\Desktop\项目\Manage_supervision)
2025-04-23 09:36:31.328 [main] INFO  com.example.auth.AuthApplication - No active profile set, falling back to 1 default profile: "default"
2025-04-23 09:36:31.821 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-04-23 09:36:31.906 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 81 ms. Found 18 JPA repository interfaces.
2025-04-23 09:36:32.228 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-04-23 09:36:32.266 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 909 ms
2025-04-23 09:36:38.408 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-04-23 09:36:39.650 [main] INFO  c.e.auth.config.WebSocketConfig - 配置WebSocket客户端入站通道拦截器
2025-04-23 09:36:39.651 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket客户端入站通道拦截器配置完成
2025-04-23 09:36:39.656 [main] INFO  c.e.auth.config.WebSocketConfig - 配置WebSocket消息代理
2025-04-23 09:36:39.656 [main] INFO  c.e.auth.config.WebSocketConfig - WebSocket消息代理配置完成
2025-04-23 09:36:39.876 [main] INFO  c.e.auth.config.WebSocketConfig - 注册WebSocket端点: /ws
2025-04-23 09:36:39.915 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-04-23 09:36:39.955 [main] INFO  com.example.auth.config.WebConfig - 配置拦截器，验证用户权限
2025-04-23 09:36:39.957 [main] INFO  com.example.auth.config.WebConfig - 配置CORS，允许前端访问
2025-04-23 09:36:39.957 [main] INFO  com.example.auth.config.WebConfig - CORS配置完成，允许所有来源访问
2025-04-23 09:36:40.011 [main] INFO  com.example.auth.config.WebConfig - 配置资源映射: /uploads/** -> file:C:\Users\37602\Desktop\项目\Manage_supervision\uploads/
2025-04-23 09:36:40.111 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
2025-04-23 09:36:40.112 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2025-04-23 09:36:40.112 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@40889d01]]
2025-04-23 09:36:40.113 [main] INFO  o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2025-04-23 09:36:40.116 [main] INFO  com.example.auth.AuthApplication - Started AuthApplication in 9.159 seconds (process running for 9.565)
2025-04-23 09:36:41.898 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-23 09:36:41.900 [http-nio-8081-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
